"","Date","Airport","Air_MonthAvg","Air_MonthMax","Air_MonthMin","Region","TIN","CAB","TIS","SQR","EYS","RHM","BVS","CAN","WDD"
"21",2013-02-01,"CORDOVA AIRPORT",1.39,7.2,-6.1,"CR",1.01,0.16,1.37,2.35,0.44,0.23,2.06,NA,NA
"22",2013-03-01,"CORDOVA AIRPORT",-1.36,6.7,-15,"CR",0.26,0.11,1.15,3.66,0.14,0.17,1.55,NA,NA
"23",2013-04-01,"CORDOVA AIRPORT",-0.26,8.3,-12.1,"CR",0.2,0.22,0.94,4.37,0.13,0.35,1.02,NA,NA
"24",2013-05-01,"CORDOVA AIRPORT",6.04,23.3,-4.3,"CR",8.27,2.89,9.32,9.47,6.87,7.12,1.01,NA,NA
"25",2013-06-01,"CORDOVA AIRPORT",12.19,32.2,2.2,"CR",17.91,15.09,18.29,17.95,17.93,15.5,6.52,NA,NA
"26",2013-07-01,"CORDOVA AIRPORT",12.81,21.7,3.9,"CR",16.33,15.65,18.13,16.37,NA,13.64,11,NA,NA
"27",2013-08-01,"CORDOVA AIRPORT",12.35,20,2.2,"CR",15.21,14.4,15.72,15.42,15.04,12.35,12.11,NA,NA
"28",2013-09-01,"CORDOVA AIRPORT",9.87,17.2,-0.5,"CR",11.54,10.21,11.58,11.68,12.01,10.21,9.03,NA,NA
"29",2013-10-01,"CORDOVA AIRPORT",6.62,14.4,-2.7,"CR",7.29,6.54,7.05,7.61,7.89,7.1,7.51,NA,NA
"30",2013-11-01,"CORDOVA AIRPORT",-1.41,9.4,-18.2,"CR",4.05,2.13,-0.62,4.73,5.09,2.74,5.74,NA,NA
"31",2013-12-01,"CORDOVA AIRPORT",-3.9,6.7,-22.1,"CR",1.3,0.14,-1.89,2.98,2.66,0.63,3.94,NA,NA
"32",2014-01-01,"CORDOVA AIRPORT",2.34,13.9,-9.3,"CR",1,0.51,0.62,2.29,1.82,0.67,2.56,NA,NA
"33",2014-02-01,"CORDOVA AIRPORT",-4.91,11.7,-19.3,"CR",0.03,0.05,-0.23,3.26,1.81,0.48,2.02,NA,NA
"34",2014-03-01,"CORDOVA AIRPORT",-0.92,11.7,-11.6,"CR",0.36,0.02,-0.74,2.39,0.33,0.21,1.63,NA,NA
"35",2014-04-01,"CORDOVA AIRPORT",2.87,14.4,-8.8,"CR",5.55,1.21,5.06,5.62,3.55,4.47,1.5,NA,NA
"36",2014-05-01,"CORDOVA AIRPORT",9.15,23.3,-1,"CR",15.64,10.57,14.26,14.38,15.39,13.52,8.46,NA,NA
"37",2014-06-01,"CORDOVA AIRPORT",9.68,21.7,0.6,"CR",15.6,12.95,16.42,15.17,15.86,13.41,10.87,NA,NA
"38",2014-07-01,"CORDOVA AIRPORT",12.36,23.3,2.8,"CR",NA,15.04,18.04,16.8,NA,15.45,12.87,NA,NA
"39",2014-08-01,"CORDOVA AIRPORT",12.12,19.4,3.3,"CR",NA,13.22,17.16,16.93,NA,12.91,NA,NA,NA
"40",2014-09-01,"CORDOVA AIRPORT",10.15,17.8,-2.1,"CR",NA,10.68,NA,NA,NA,10.26,NA,NA,NA
"41",2014-10-01,"CORDOVA AIRPORT",4.4,13.9,-7.7,"CR",NA,5.14,NA,NA,NA,5.73,NA,NA,NA
"42",2014-11-01,"CORDOVA AIRPORT",1.77,13.3,-11.6,"CR",NA,2.5,NA,NA,NA,3.92,NA,NA,NA
"43",2014-12-01,"CORDOVA AIRPORT",1.53,8.9,-8.2,"CR",NA,1.21,NA,NA,NA,2.3,NA,NA,NA
"44",2015-01-01,"CORDOVA AIRPORT",-0.91,9.4,-14.3,"CR",NA,0.67,NA,NA,NA,1.57,NA,NA,NA
"45",2015-02-01,"CORDOVA AIRPORT",0.21,8.9,-13.8,"CR",NA,0.57,NA,NA,NA,2.07,NA,NA,NA
"46",2015-03-01,"CORDOVA AIRPORT",0.64,12.2,-16.6,"CR",NA,1.32,NA,NA,NA,3.96,NA,NA,NA
"47",2015-04-01,"CORDOVA AIRPORT",3.68,13.3,-5.5,"CR",NA,4.4,NA,NA,NA,6.04,NA,NA,NA
"48",2015-05-01,"CORDOVA AIRPORT",8.71,21.1,-2.7,"CR",NA,12.48,14.42,NA,NA,13.52,NA,NA,NA
"49",2015-06-01,"CORDOVA AIRPORT",11.28,27.8,2.8,"CR",NA,14.45,15.77,NA,NA,13.28,NA,17.05,16.21
"50",2015-07-01,"CORDOVA AIRPORT",12.82,25.6,5,"CR",NA,16,17.31,NA,NA,13.99,NA,19.05,17.48
"51",2015-08-01,"CORDOVA AIRPORT",12.48,22.2,1.7,"CR",NA,15.77,16.29,NA,NA,13.4,NA,18.08,17.38
"52",2015-09-01,"CORDOVA AIRPORT",7.94,18.3,-3.8,"CR",NA,10,10.47,NA,NA,8.78,NA,12.83,12.82
"53",2015-10-01,"CORDOVA AIRPORT",6.36,15,-3.8,"CR",NA,6.41,6.91,NA,NA,6.09,NA,NA,NA
"54",2015-11-01,"CORDOVA AIRPORT",-0.7,8.3,-17.7,"CR",NA,2.16,2.88,NA,NA,1.81,NA,NA,NA
"55",2015-12-01,"CORDOVA AIRPORT",-1.38,6.7,-14.9,"CR",NA,0.83,2.03,NA,NA,0.71,NA,NA,NA
"56",2016-01-01,"CORDOVA AIRPORT",2.16,8.3,-7.7,"CR",NA,1.23,2.02,NA,NA,1.44,NA,NA,NA
"57",2016-02-01,"CORDOVA AIRPORT",2.56,9.4,-7.7,"CR",NA,1.64,2.81,NA,NA,2.48,NA,NA,NA
"58",2016-03-01,"CORDOVA AIRPORT",3.56,20,-7.1,"CR",NA,3.5,4.92,NA,NA,4.7,NA,NA,NA
"59",2016-04-01,"CORDOVA AIRPORT",5.7,15.6,-3.8,"CR",NA,7.29,8.54,NA,NA,8.12,NA,NA,NA
"60",2016-05-01,"CORDOVA AIRPORT",8.82,22.8,-1,"CR",NA,12.47,14.21,NA,NA,12.87,NA,NA,NA
"61",2016-06-01,"CORDOVA AIRPORT",11.72,25,1.1,"CR",NA,15.73,17.45,NA,NA,14.51,NA,19.04,18.58
"62",2016-07-01,"CORDOVA AIRPORT",13.8,24.4,6.1,"CR",NA,NA,17.38,NA,NA,15.31,NA,19.64,19.55
"63",2016-08-01,"CORDOVA AIRPORT",13.06,26.7,2.8,"CR",NA,NA,15.3,NA,NA,12.78,NA,16.44,15.27
"64",2016-09-01,"CORDOVA AIRPORT",9.21,18.9,-2.7,"CR",NA,NA,12.37,NA,NA,10.17,NA,12.93,12.84
"65",2016-10-01,"CORDOVA AIRPORT",3.84,14.4,-7.7,"CR",NA,NA,5.02,NA,NA,6.04,NA,5.28,4.91
"66",2016-11-01,"CORDOVA AIRPORT",1.58,11.1,-10.5,"CR",NA,1.2,2.83,NA,NA,4.35,NA,3.25,3.18
"67",2016-12-01,"CORDOVA AIRPORT",-3.24,5,-16.6,"CR",NA,0.35,0.2,NA,NA,2.14,NA,0.53,1.43
"68",2017-01-01,"CORDOVA AIRPORT",-4.73,5,-19.3,"CR",NA,0.07,-1.12,NA,NA,1.07,NA,-0.56,0.81
"69",2017-02-01,"CORDOVA AIRPORT",-2.32,7.2,-13.2,"CR",NA,0.09,-1.04,NA,NA,0.37,NA,-0.27,0.5
"70",2017-03-01,"CORDOVA AIRPORT",-4.02,5,-19.3,"CR",NA,0.07,-1.46,NA,NA,0.12,NA,-1.14,0.34
"71",2017-04-01,"CORDOVA AIRPORT",4.27,16.1,-5.5,"CR",NA,0.91,5.31,NA,NA,3.13,NA,2.54,3.6
"72",2017-05-01,"CORDOVA AIRPORT",6.4,21.7,-3.8,"CR",NA,7.24,11.67,NA,NA,7.01,NA,12.15,10.81
"73",2017-06-01,"CORDOVA AIRPORT",10.48,21.7,1.1,"CR",NA,13.18,15.89,NA,15.93,9.08,NA,16.48,15.05
"74",2017-07-01,"CORDOVA AIRPORT",12.55,22.8,3.3,"CR",NA,15.57,17.88,NA,17.94,10.8,NA,18.39,17.08
"75",2017-08-01,"CORDOVA AIRPORT",12.03,25,2.2,"CR",NA,13.82,15.39,NA,16.06,10.73,NA,16.58,16.1
"76",2017-09-01,"CORDOVA AIRPORT",9.49,17.8,0,"CR",NA,10.04,11.31,NA,11.69,9.08,NA,11.92,11.32
"77",2017-10-01,"CORDOVA AIRPORT",4.4,13.9,-7.1,"CR",NA,5.49,5.67,NA,7.34,5.27,NA,7.17,7.85
"78",2017-11-01,"CORDOVA AIRPORT",-1.54,12.2,-13.8,"CR",NA,1.43,2.31,NA,NA,1.9,NA,NA,NA
"79",2017-12-01,"CORDOVA AIRPORT",-0.34,10,-15.5,"CR",NA,1.06,1.66,NA,NA,1.37,NA,NA,NA
"80",2018-01-01,"CORDOVA AIRPORT",-1.48,10.6,-14.9,"CR",NA,0.38,0.89,NA,NA,0.37,NA,NA,NA
"81",2018-02-01,"CORDOVA AIRPORT",-3.75,8.3,-19.3,"CR",NA,0.08,0.3,NA,NA,0.33,NA,NA,NA
"82",2018-03-01,"CORDOVA AIRPORT",-0.1,8.9,-13.8,"CR",NA,0.26,0.29,NA,NA,0.96,NA,NA,NA
"83",2018-04-01,"CORDOVA AIRPORT",3.23,13.9,-7.7,"CR",NA,1.7,4.22,NA,NA,3.71,NA,NA,NA
"84",2018-05-01,"CORDOVA AIRPORT",6.37,18.3,-2.7,"CR",NA,6.52,10.43,NA,NA,5.28,NA,NA,NA
"85",2018-06-01,"CORDOVA AIRPORT",10.43,20,0,"CR",NA,12.69,15.82,NA,15.78,9.56,NA,16.12,15.68
"86",2018-07-01,"CORDOVA AIRPORT",12.96,26.7,3.3,"CR",NA,14.72,NA,NA,17.46,11.41,NA,18.03,17.11
"87",2018-08-01,"CORDOVA AIRPORT",12,22.2,2.2,"CR",NA,13.11,NA,NA,15.58,11.03,NA,15.96,15.46
"88",2018-09-01,"CORDOVA AIRPORT",10.16,23.9,-1,"CR",NA,11.56,NA,NA,14.59,9.2,NA,15.08,14.03
"89",2018-10-01,"CORDOVA AIRPORT",7.12,16.1,-6,"CR",NA,7.56,NA,NA,8.22,7.05,NA,8.43,8.51
"90",2018-11-01,"CORDOVA AIRPORT",2.61,11.7,-8.8,"CR",NA,3.53,NA,NA,4.47,3.04,NA,4.27,3.95
"91",2018-12-01,"CORDOVA AIRPORT",1.66,8.9,-6.6,"CR",NA,1.9,NA,NA,2.97,1.4,NA,2.5,2.47
"92",2019-01-01,"CORDOVA AIRPORT",-2.62,8.3,-18.8,"CR",NA,0.43,NA,NA,2.63,0.33,NA,1.58,1.06
"93",2019-02-01,"CORDOVA AIRPORT",-2.65,6.7,-15.5,"CR",NA,0.19,NA,NA,2.46,0.17,NA,1.2,0.84
"94",2019-03-01,"CORDOVA AIRPORT",3.62,16.1,-10.5,"CR",NA,0.68,NA,NA,2.36,1.15,NA,0.61,1.39
"95",2019-04-01,"CORDOVA AIRPORT",4.34,15,-3.8,"CR",NA,3.88,NA,NA,7.41,4.48,NA,8.64,5.72
"96",2019-05-01,"CORDOVA AIRPORT",8.41,18.9,-1,"CR",NA,9.74,NA,NA,12.75,7.99,NA,12.79,11.54
"97",2019-06-01,"CORDOVA AIRPORT",12.63,26.1,2.8,"CR",NA,NA,NA,NA,17.55,11.47,NA,17.77,16.11
"98",2019-07-01,"CORDOVA AIRPORT",14.82,24.4,7.2,"CR",NA,NA,NA,NA,19.78,13.59,NA,20.38,19.29
"99",2019-08-01,"CORDOVA AIRPORT",13.73,28.9,0.6,"CR",NA,NA,NA,NA,18.56,12.79,NA,19.2,17.39
"100",2019-09-01,"CORDOVA AIRPORT",10.55,19.4,-1,"CR",NA,NA,NA,NA,13.03,NA,NA,13.28,13.21
"101",2019-10-01,"CORDOVA AIRPORT",5.78,14.4,-4.3,"CR",NA,NA,NA,NA,7.14,NA,NA,7.06,10.14
